wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,Type
0.215434,0.108571,0.00841439,0.31677,0
0.215434,0.137143,0.037622,0.347826,0
0.205788,0.142857,0.0336517,0.397515,0
0.228296,0.177143,0.0118996,0.447205,0
0.221865,0.177143,0,0.447205,0
0.234727,0.0857143,0.0877392,0.279503,0
0.215434,0.125714,0.0303343,0.335403,0
0.205788,0.148571,0.0640398,0.366459,0
0.215434,0.148571,0.0564167,0.366459,0
0.215434,0.211429,0.0336517,0.509317,0
0.215434,0.125714,0.0118996,0.304347,0
0.212219,0.108571,0.0266059,0.31677,0
0.215434,0.125714,0.0356922,0.335403,0
0.228296,0.0857143,0.0452982,0.285714,0
0.21865,0.114286,0.0490452,0.329192,0
0.215434,0.148571,0.0452982,0.366459,0
0.22508,0.171429,0.0713398,0.478261,0
0.22508,0.165714,0.0188143,0.447205,0
0.209003,0.125714,0.0266059,0.304347,0
0.21865,0.108571,0.0168282,0.31677,0
0.212219,0.142857,0.00841439,0.409938,0
0.22508,0.171429,0.00841439,0.47826,0
0.234727,0.171429,0.0420602,0.465838,0
0.21865,0.171429,0.0188143,0.478261,0
0.22508,0.194286,0.0188143,0.503105,0
0.231511,0.0857143,0.00841439,0.285714,0
0.221865,0.125714,0.0538534,0.298136,0
0.22508,0.182857,0.0252408,0.472049,0
0.209003,0.131429,0.0452982,0.385093,0
0.209003,0.142857,0.00841439,0.391304,0
0.209003,0.142857,0.0336517,0.409938,0
0.21865,0.188571,0.103898,0.503105,0
0.215434,0.194286,0.0420602,0.503105,0
0.212219,0.114286,0.0252408,0.31677,0
0.22508,0.182857,0.0266059,0.472049,0
0.228296,0.171429,0.0490452,0.465838,0
0.228296,0.0857143,0,0.285714,0
0.209003,0.148571,0.0118996,0.403726,0
0.22508,0.171429,0.037622,0.478261,0
0.209003,0.142857,0.0303343,0.409938,0
0.237942,0.0685714,0.0237975,0.285714,0
0.241158,0.108571,0.0905054,0.298136,0
0.237942,0.108571,0.0656729,0.298136,0
0.237942,0.171429,0.0490452,0.478261,0
0.234727,0.0857143,0.0266059,0.279503,0
0.237942,0.108571,0.0475819,0.298136,0
0.205788,0.131429,0.0252408,0.385093,0
0.221865,0.142857,0.0266059,0.37267,0
0.212219,0.148571,0.0237975,0.403726,0
0.234727,0.0857143,0.0303343,0.279503,0
0.221865,0.12,0.0420602,0.354037,0
0.237942,0.171429,0.0336517,0.478261,0
0.237942,0.0685714,0.034687,0.285714,0
0.22508,0.125714,0.0266059,0.322981,0
0.215434,0.125714,0.0252408,0.322981,0
0.215434,0.108571,0,0.341615,0
0.212219,0.125714,0.0118996,0.347826,0
0.215434,0.154286,0.0336517,0.459627,0
0.215434,0.154286,0.037622,0.490683,0
0.231511,0.0628571,0.0118996,0.279503,0
0.244373,0.108571,0.0511614,0.322981,0
0.22508,0.125714,0.0452982,0.31677,0
0.221865,0.131429,0.0237975,0.322981,0
0.212219,0.12,0.037622,0.354037,0
0.209003,0.125714,0.0336517,0.347826,0
0.215434,0.142857,0.0356922,0.37267,0
0.22508,0.171429,0.0504659,0.478261,0
0.215434,0.171429,0.0303343,0.478261,0
0.205788,0.142857,0.0237975,0.37267,0
0.22508,0.114286,0.0420602,0.310559,0
0.215434,0.125714,0.0452982,0.322981,0
0.205788,0.142857,0.0420602,0.360248,0
0.22508,0.154286,0.0475819,0.459627,0
0.215434,0.194286,0.0832048,0.503105,0
0.212219,0.194286,0.0336517,0.503105,0
0.228296,0.131429,0.0511614,0.354037,0
0.212219,0.142857,0.0420602,0.37267,0
0.221865,0.171429,0.0188143,0.478261,0
0.221865,0.131429,0.0118996,0.322981,0
0.221865,0.125714,0.0564167,0.347826,0
0.215434,0.125714,0.0188143,0.322981,0
0.212219,0.154286,0.101154,0.459627,0
0.21865,0.188571,0.0865264,0.503105,0
0.212219,0.142857,0.0303343,0.360248,0
0.215434,0.194286,0.0420602,0.534161,0
